"Design value to translate",翻訳する設計値
"Applied rule approver with id ""%1"" does not exist.","ID ""%1"" を持つ適用ルール承認者が存在しません。"
"Could not delete the applied rule approver: %1","適用されたルール承認者を削除できませんでした: %1"
"Could not save the applied rule: %1","適用されたルールを保存できませんでした: %1"
"Applied rule with id ""%1"" does not exist.","ID ""%1"" を持つ適用ルールは存在しません。"
"Could not delete the applied rule: %1","適用されたルールを削除できませんでした: %1"
"Value must be an integer",値は整数でなければならない
"Value must be positive",価値はポジティブでなければならない
"Operator is not supported",オペレータはサポートされていません
"Rule condition does not exist.",ルール条件が存在しません
"Rule is incorrectly configured.",ルールの構成が正しくありません。
"Could not save the rule: %1","ルールを保存できませんでした: %1"
"Rule with id ""%1"" does not exist.","ルール with id ""%1"" は存在しません。"
"Could not delete the rule: %1","ルールを削除できませんでした: %1"
"Your Company Administrator",あなたの会社の管理者
"Your Manager",あなたのマネージャー
"Are you sure you want to delete this rule?",このルールを削除してもよろしいですか？
"Any order over $1000 requires approval from the Manager and Sales Leader.",1000ドル以上の注文は、マネージャーとセールスリーダーの承認が必要です。
"If shipping cost is more than $500, approval from your manager is required.",送料が500ドル以上の場合は、マネージャーの承認が必要です。
"Any order with more than 20 distinct SKUs will require Admin approval.",20以上の異なるSKUを持つすべての注文は、管理者の承認が必要です。
"Rule name",ルール名
"Applies to",該当する
"All roles",オールロール
"Specific roles",特定の役割
"Rule type",ルールタイプ
"Here are some sample rules: ",ここにルールのサンプルがあります。
"Order Total: ",注文合計：
"Shipping Cost: ",送料：
"Number of SKUs: ",SKUの数。
"Requires approval from",の承認が必要
"Validate Purchase Order",発注書を確認する
"Condition operator",条件演算子
"Condition amount",状態量
"Enter amount",金額を入力してください
"Condition quantity",条件量
"Enter quantity",量を入力してください
"An error occurred while validating the rule name. Please try again.",ルール名の検証中にエラーが発生しました。再度お試しください。
"Approve Purchase Orders without other approvals",他の承認なしで発注書を承認する
"View Approval Rules",ビュー承認ルール
"Create, Edit and Delete",作成、編集、削除
"is more than",よりも
"is less than",未満
"is more than or equal to",以上である
"is less than or equal to",未満である
"Shipping Cost",送料
"Number of SKUs",SKU数
"Rules: %rule  applied to Purchase Order","ルール。ルール: %rule apply to Purchase Order"
"Requires My Approval",承認が必要
"Approval Flow",承認の流れ
"Rule Type",ルールタイプ
"Created by",作ったのは
Approver,承認者
"This action cannot be undone. Are you sure you want to reject the selected purchase orders?",このアクションは元に戻すことはできません。選択した購入注文を拒否してもよろしいですか？
"Reject Selected",選択した発注を拒否する
"No rules have been created.",ルールが作成されていません
"Please enter a whole number.",整数を入力してください
"We couldn't find the requested requisition list.",要求された要求リストが見つかりませんでした。
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","<a href=""%2"">%3</a>に%1が追加されました。"
